동영상제목,조회수,좋아요수,게시일,댓글내용,댓글작성자,댓글좋아요수,댓글작성일
,,,,뭔가 직접적인 방식이 아니라 그냥 아날로그 난수를 냅다 사진으로 찍어버리는게 웃기네ㅋㅋ,@tertervouz,33,2024-02-11T16:49:17Z
,,,,우리가 난수라고 생각하는 모든건 사실 아주 정교한 우주적 스케일의 의사난수라고 생각하고있긴 하지만 흥미롭네요... 라바램프 이미지를 갖다가 난수 생성의 시드로 사용한다니......,@epnphrn0032,92,2024-02-11T17:57:51Z
,,,,"원자 레벨에서 랜덤성이 실제로 존재하는지 존 클라우저가 벨 부등식을 이용해 실험을 고안해냈고, 실험적으로 검증됐죠 (이걸로 노벨 물리학상 수상). 양자통신에서도 랜덤성은 감청을 잡아낼 수 있는 중요한 역할을 하고요.",@hellokim_kr,31,2024-02-11T23:24:52Z
,,,,마지막에 한국말로 인사하는 건 예측을 벗어났다,@user-ky7cw7gl6u,3,2024-03-01T02:39:19Z
,,,,난수생성에 대한 이야기 잘 들었습니다 니꼬쌤!,@스바-t1o,9,2024-02-11T11:29:13Z
무턱대고 console.log 만 찍고있나요?,43675,1747,2024-02-04T11:30:22Z,"🔥 니꼴라쓰의 NextJS 14.0 무료 강의 🔥
https://bit.ly/48Lo8gV
-
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,4,2024-02-04T13:29:29Z
,,,,console.table  진짜 혁명적이다 기존처럼 console.log로 for 이중으로 돌리면서 개고생 안해도되네 너무 좋다 감사합니다..다른것도 너무 유용한 기능 많네요,@성이름-q8t8u,6,2024-03-05T17:50:04Z
,,,,다른 유튜버였음 error warn debug log 로 끝냈을거같은데 니꼬쌤이라 들어와봤다,@1000sh,6,2024-02-05T01:47:49Z
,,,,콘솔로그말고도 이렇게나 많이 기능들이있다니..!! 또 하나 배워갑니다😊😊,@xyddl,7,2024-02-04T23:01:27Z
,,,,"이야!!!!

console.log(error) // TODO: 나중에 지울 것.",@hackish113,19,2024-02-04T12:56:18Z
,,,,항상 눈팅만 하던 채널이었는데 이건 ㄹㅇ 개쩐다,@라멘SSS,3,2024-02-05T01:44:08Z
,,,,"Man, I never knew, thanks so much. The table one especially is useful and the coutnone will help in react.",@MubashirullahD,2,2024-02-05T10:04:22Z
,,,,IDE 에서 디버그 하는 방법에 대해서도 궁금합니다.!!! 항상 영상 잘 보고 있습니다,@주선손-q6r,7,2024-02-04T11:35:45Z
,,,,디버깅 영상 기다리고 있어요~! ❤,@whale-v6r,0,2024-07-11T04:44:08Z
,,,,와 장난아닌데요 이거 엄청 유용하게 쓸수있겠는데,@sXCNJdMcvf6Rlgl,1,2024-02-05T10:08:57Z
2024년. NextJS 14를 배워야하는 이유.,46807,847,2024-01-28T11:30:31Z,"🔥 니꼴라쓰의 NextJS 14.0 무료 강의 🔥
https://bit.ly/48Lo8gV",@nomadcoders,7,2024-01-28T11:59:50Z
,,,,"14버전을 미래에 쓰기위해 공부하는건 좋지만, 실사용은 13버전을 계속 쓰는게 좋습니다.
버전업 되면서 seo를 위한 메타데이터 넣는 방식이 전부 강제로 바뀌었거나, 내장되어있는 turbo 번들러 관련 이슈, 로컬서버 관련 이슈들도 많이터져서 정말 불편했어요.
vercel꺼는 최신제품을 바로쓰면 타 제품들보다 버그가 생각보다 많이 터지기 때문에, 정말 원하는 기능이 최신버전에 있는게 아니라면, 좀 기다리면서 여러 버그들이 고쳐진다음에 사용하는게 좋습니다.",@Rudbeckiaa,33,2024-01-28T23:15:04Z
,,,,'use hydrate' 좋네요. 많은 사람들이 'use client'때문에 헷깔려함,@yjkim1243,14,2024-01-28T11:52:27Z
,,,,"이러다가 Next.js v20쯤에는 이런기능도 추가 될듯...
'use php', 'use java', 'use c', 'use 니콜라스'",@enslow,31,2024-01-28T14:00:55Z
,,,,오 use client를 use hydrate의 느낌으로 이해하라는 말씀이 많이 공감됩니다! 좋은 영상 잘 보고 갑니다 :),@김승완-z4c,4,2024-01-29T05:48:29Z
,,,,"14버전 찍목은 해봤는데 강의도 봐야겠네요 ! 
감사합니다 👍",@GreedHo-h1c,4,2024-01-28T11:52:01Z
,,,,믿고 있었다구,@useruseruserkk,4,2024-01-28T11:31:42Z
,,,,재미로 하거나 이미 업계 3년차 이상이면 추천. 국내 취준생이면 하던거나 하셈. 물론 SEO나 SSR 관심을 보여주려는 용도로는 좋은둣,@제이-u2u,27,2024-01-28T11:59:51Z
,,,,최고입니다!,@itsmylife-nowOrNever,2,2024-01-28T11:44:19Z
,,,,니꼬쌤~ 넥스트도 짱짱맨이지만 넉스트도 짱짱맨이에여!  말씀하신게 거의 다 지원되는거라 요것도 소개해주시면 넘넘 조을거같애요🙇🏻‍♀️🙇🏻‍♀️,@연이-n7v,3,2024-01-28T14:34:48Z
단 하나의 파일로 백엔드 구축이 가능하다?!,39262,1256,2024-01-21T11:30:02Z,"📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,6,2024-01-21T11:43:50Z
,,,,Go프로젝트는 정말 좋아요 JS나 Python처럼 덕지덕지 라이브러리 붙일 필요도 적고 그래서 메인터넌스도 너무 좋고...,@sungjuyea4627,18,2024-01-21T21:49:12Z
,,,,ㅋㅋㅋㅋㅋㅋ 1인개발 할때 편하겠네 요새 점점 프레임워크나 라이브러리 기능들이 쉽고 간소화 된게 너무 좋네,@cozyboyyy1721,8,2024-01-22T01:21:15Z
,,,,"이걸로 이제 Firebase에 돈을 주지 않아도 되겠다 싶은 생각이 들기 시작하는군요…
이젠 *설치만 하면 되는 서버* 시대가 열렸다… ㄷㄷㄷ…",@softk,16,2024-01-21T13:12:58Z
,,,,"오픈소스라니 좋네용! strapi, directus, supabase같은 애들이 나오더니 이쪽 생태계도 계속 발전해가네요",@호빵맨주인-j3j,6,2024-01-21T13:22:28Z
,,,,와~ 개쩐다 ㅋㅋㅋ 내일 당장 회사에서 사용해 봐야지 ㅋㅋㅋ 감사합니다~~~ 항상 잘 보고 있어요~~,@lukedwise7824,2,2024-01-22T12:42:03Z
,,,,매주 이렇게 신선한 주제를 가지고 오시니 너무 좋네요,@JonadanLee,10,2024-01-22T01:37:35Z
,,,,뷰를 통해 실시간 데이터처리가 필요한 개발을 하고 있는데 당장 사용해봐야겠네요 감사합니다ㅎㅎ,@banzumon,2,2024-01-21T13:39:40Z
,,,,와 엄청나네요! 감사합니다 그리고 항상 볼때마다 어떻게 편집하면 저렇게 가독성있게 코드를 보여주시는지 대단해요,@conanssam,3,2024-01-22T01:26:01Z
,,,,"Hi and Bye  서비스
1. 접속하며 내 반경 100M 안에 서비스 사용자가 Count 안내 Hi 00명
2. 이미 접속이 되어 있는 사용자들에게도 내가 접속시 반경 100M 안에 있으면 Hi 00명 알려주기
3. 내가 반경 100M 넘어가면 Hi 00명, Bye 00명으로 내주변의 사용자 알림
환경1. 브라우져에 지도 맵을 띄어 주고 최초 장소는 현재장소
환경2 - 마우스로 지도를 클릭하면 위치 이동이 되고 주변 Hi and Bye 알려주기",@purulu.seungjun,6,2024-01-22T04:17:08Z
VSC 경쟁자가 나타났다? Zed 의 등장!,39153,801,2024-01-14T11:15:01Z,"📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,7,2024-01-14T11:43:22Z
,,,,VSC에 쌓인 방대한 익스텐션 및 code-server 등등 서드파티 환경 (브라우저만 있으면 어디서나 같은 환경에서 코딩가능한)등 다 따라잡으려면 최소한 2년은 필요할 테니 그냥 당장은 관심 끄는걸로,@jkijljbnj7165,97,2024-01-14T11:22:55Z
,,,,"vscode 의 확장과 위 ai 기능을 모두 다 가진 cursor 에디터가 있습니다. os도 상관없이 리눅스, 맥, 윈도우 다 됩니다!
vscode 기반이라 확장도 그대로 쓸수있고, 설정 옵션 기능 전부 동일한 상태에서 ai chat gpt 기능이 추가로 들어가서 정말 좋습니다. 영상처럼 코드 리팩토링, 작성, 질문 모두 가능해요",@우주초월,18,2024-01-14T18:22:39Z
,,,,"+1 for zed (recently switched from vs code). agree, miss some extensions, but those same extensions start to bloat vs-code and you can feel it.",@RolandAyala,2,2024-01-23T11:17:04Z
,,,,함 써봐야지 했다가 익스텐션에서.. 2년 뒤에 더 성공해서 오길 바라봅니다.,@TAL-q5d,32,2024-01-14T11:47:44Z
,,,,"I really like that zed is getting more recognition slowly, i have already made the switch to zed and i really like it.",@nstlgy,0,2024-06-09T06:05:40Z
,,,,"Yeah, unfortunately, I doubt anything will soon be able to beat VSCode, especially when it comes to the JS/TS/TSX extension it has, it is second to none and I pretty much can't use any alternative IDE until we have an extension up to par with that without feeling like I am giving up a lot",@uuidv5,5,2024-01-14T16:34:32Z
,,,,감사합니다!,@다루루,3,2024-01-14T11:36:49Z
,,,,천천히 써봐야겠어요.,@puzzdev7914,1,2024-01-16T04:05:15Z
,,,,"시작할 때 뭘 쓰느냐에 따라서 평생 쓸게 나뉘는 듯
나도 처음에 VSCode 쓰고 거의 딴 건 못쓰는데 Zed는 후발주자로서 따라잡기 쉽지 않을 것 같음
Windows를 쓰는 개발자도 많은데 지금 macOS만 지원하는 것도 유입 받아들이기 좋진 않을 것임
일단 Fleet 부터 이기기고 가야할 듯",@CHZZK_NAVER,8,2024-01-14T11:52:24Z
자바스크립트는 어떻게 만들어지는가?!,15759,446,2024-01-07T11:30:16Z,"🔥새해 2024년....!
찐한 코딩 스터디로 열공하고 갓생살고 싶다면?  😉
👉🏻  https://bit.ly/3trPM3i
.
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,5,2024-01-07T11:30:43Z
,,,,아 이모지 api 너무 귀여운거 아니냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,@Clattic,2,2024-01-08T14:08:28Z
,,,,"이전 영상에서 Temporal 소개해준 영상을 보고 Github에 들어가니, 표준 API가 채택되는 절차와 제안자, 담당 챔피언, 스테이지에 대기 중인 새로운 API가 있더라고요. 흥미롭게 봤는데 이번 영상에서 자세히 다뤄줘서 감사합니다.",@mion-,1,2024-01-10T15:22:17Z
,,,,"좋은 내용이네요, 다음엔 WebDAV, RFC 다루는게 있으면 좋을것 같습니다 :D",@정세호-y3q,2,2024-01-07T22:32:30Z
,,,,"와우 이런건 처음 듣네요
ECMA  단체
  이런 절차가 있군요",@아이니아,2,2024-01-07T13:34:15Z
,,,,"omg, didnt know that it involves so much procedure just for an emoji API",@jonathanpark873,2,2024-01-07T18:37:24Z
,,,,궁금했던 건데 이렇게 알려주셔서 감사합니다,@Barkshihun,1,2024-01-07T20:10:32Z
,,,,❤❤❤ useful and fun video,@hjrr6471,1,2024-01-07T14:47:00Z
,,,,와 이고 진짜 궁금했었어요,@Jiho04,1,2024-01-07T19:58:44Z
,,,,"ECMAScript -> 스크립트 언어를 정의하는 명세서
Javascript -> ECMAScript 명세서에 적힌 기준을 충족하는 스크립트 언어",@rexiann,3,2024-01-08T02:04:14Z
2024년 나의 유일한 소원은..?,26231,651,2024-01-01T11:15:01Z,"🔥새해 2024년....!
찐한 개발자 스터디와 열공하고 갓생살고 싶다면?  😉
👉🏻  https://bit.ly/3trPM3i
.
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,4,2024-01-01T11:26:35Z
,,,,2024년 새해복 많이받으세요!! 노마드코더 화이팅!!,@hector-zx1rn,14,2024-01-01T11:19:23Z
,,,,니꼬쌤 새해 복 많이 받으세용~,@jhj1251,6,2024-01-01T11:27:52Z
,,,,happy new year!,@user-kt3wb3om4o,0,2024-01-04T05:11:06Z
,,,,새해복 많이받으세요 덕분에 많이 배웠습니다,@키미a,3,2024-01-01T11:39:02Z
,,,,this is a lovely api,@inversebrah,1,2024-01-01T16:57:31Z
,,,,니코형 새해 복 많이 받아요~!,@DurianSavesTheWorld,1,2024-01-03T06:48:43Z
,,,,새복많! 시청자 분들도 다 한번에 원하는 기능을 완성하고 수정요청이 안들어오길!,@Do_not_touch_me-b5i,0,2024-01-02T02:28:37Z
,,,,Happy new year :),@ohyoungho6810,1,2024-01-01T11:47:27Z
,,,,1:42 Temporal은 '임시의'라는 뜻이 아니라 '시간의'라는 뜻입니다!,@d2341a,9,2024-01-01T11:27:58Z
테일윈드를 대체했다고?,34477,709,2023-12-24T05:15:00Z,"🔥 다가오는 2024년....
찐한 개발자 스터디와 열공하고 갓생살고 싶다면?  😉
👉🏻  https://bit.ly/3trPM3i
.
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,3,2023-12-24T09:16:43Z
,,,,"큰 프로젝트에서는 tailwindCSS보다 좋은 점이 있어 보이는군요!
작은 프로젝트에서는 여전히 tailwindCSS가 빠르고 편하기 때문에 좋아보이긴 하지만요, 좋은 목적으로 쓸 수 있는 옵션이 있는 느낌이라 좋습니다",@므긴,7,2023-12-24T09:09:04Z
,,,,"tailwindcss 는 스타일을 태그에서 모두 볼수있게 하고 일관성과 간결함을 갖는데 있습니다.

모든 스타일이 보이는데 간결함이라고 하여 의문을 가질수도 있지만

기존에는 프로젝트가 커질수록 제어불가능한 css와 클래스가 커지지만

tailwindcss는 style 속성을 이용하는것처럼 태그에서 직관적으로 관리 가능하죠

style 속성과 차이점은 미디어 태그를 사용 가능하고 지정된 크기 (*4 비율의 크기) 를 사용하고 조건식을 사용 가능하고 더 간결하다는 점이 다릅니디.

또한 tailwind도 지정된 스타일이름만 사용하고 오타는 감지하는 플러그인이 있지요.

또한 사용하는 클래스만 컴파일되서 css파일을 최소화 해줍니다

저는 StyleX를 왜 tailwindcss와 비교하는지 모르겠어요. 접근방식 자체가 아에 다릅니다. 기존에 css in js 를 사용할때 타입안정성의 이점을 가진지는 예전부터 가지고 있었고

해결하려는 문제 자체와 방식이 다르다고 생각합니다

오히려 css in js 라이브러이들 예를 들어 styled components 와 비교 하는게 어땟을까요.

이 영상은 단순히 css in js 와 tailwindcss 의 비교 내용밖에 없어보입니다",@user-bn8nu1wk2u,31,2023-12-24T11:50:43Z
,,,,"공부 할게 또 하나 생겼네요.
감사합니다! 바로 하나 예제 하나 만들어 봐야겠네요 ❤",@GreedHo-h1c,7,2023-12-24T05:28:29Z
,,,,타입 관리 해주는건 정말 좋네요,@DDuck_Sang333,2,2023-12-24T07:56:10Z
,,,,Thanks for information!,@trubnikov,1,2023-12-24T06:11:10Z
,,,,무려 리액트 네이티브를 만든곳인데 긍정적으로 봅시다 ㅎㅎ,@saintjun7451,1,2023-12-24T21:03:56Z
,,,,아니 뭐 이거 그냥 스벨트 아님?,@hou12924,8,2023-12-24T08:59:56Z
,,,,Latex 코딩 강의 잘 아시면 알려주세요!! 노마드님한테 배우고 싶어요!,@ddorohki,2,2023-12-24T07:04:55Z
,,,,타입 세이프를 지원하는 점에서는 stitches 랑 비슷해보이네요!,@wyz-17,1,2023-12-24T09:37:36Z
ChatGPT 플러스 결제를 중단하는 이유?,91419,3219,2023-12-17T10:30:09Z,"🔥 이제는 개발자의 필수덕목이 되어 가는 A.I.
AI 웹 서비스 만들고. 직접 사용하고 싶다면? 😉
👉🏻  https://bit.ly/46nOPWZ
.
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,25,2023-12-17T11:03:23Z
,,,,"인터넷 없이도 가능하고 검열되지 않은 코드를 작성할 수 있는 것도 흥미롭네요
한글만 제대로 지원하면 고려해볼 거같은데",@ManChan777,40,2023-12-17T10:40:30Z
,,,,"근데 너무 고성능 모델은 또 램을 무지막지하게 요구해서ㅋㅋㅋ 좀 손이 안가더라구요. 확실히 재미는 있어요.
고성능 오픈 LLM은 쓰고싶은데 굳이 내 컴퓨터에서 직접은 안돌려도 된다, 싶은 분들은 Hugging Chat 괜찮습니다. Huggingface에서 직접 오픈 모델들 중에 좋은거 몇개 추려서 gpt랑 똑같이 ui를 만들어놨더라구요 ㅋㅋ",@user-yk7mn7we2i,19,2023-12-17T10:37:32Z
,,,,챗GPT 플러스 대신 올라마(Ollama)를 사용하는 이유를 설명해주셔서 감사합니다. 특히 올라마를 통해 오프라인에서도 다양한 AI 모델을 쉽게 실행할 수 있는 방법이 매우 흥미로웠어요! 👍,@평범한사업가,4,2023-12-23T17:03:39Z
,,,,영어로 써야되니 뉴비는 정확하게 써야겠네요 흥미롭습니다,@blancdore,14,2023-12-17T10:41:16Z
,,,,"중단할 뻔 했지만 아직은 유지해야겠군요! 미래가 기대되는 어플리케이션입니다. ㅎㅎ 
소개해주시는건 한번씩 다 잘 써보고 있습니다! 늘 감사해요 :)",@박관호-j3m,10,2023-12-17T18:46:44Z
,,,,"영어 안된다고 하시는데 실무에선 이것도 감사하고, 파파고나 구글 번역 돌리면 사용하는데 큰 문제 없어요. 방법을 찾는거죠.",@brandlee5089,12,2023-12-17T12:27:43Z
,,,,오 설치하고 사용해봤는데 영어공부용으로 너무 좋은듯...(맥북프로 활용도가 증가하는 너낌..👍😃),@LocalSnaps,2,2023-12-26T13:58:57Z
,,,,와우~ 여기에 랭체인도 연결해서 pdf 인식이나 이런것들도 추가할 수 있으면 좋겠네요~,@deryllee2398,30,2023-12-17T10:42:51Z
,,,,어제 오늘 돌려보면서 챗지피티의 위대함만 더 깨달았네요 13B 모델까지만 돌려봤는데 지피티의 발끝도 못 따라갈 성능이더군요..,@abcdef112-q5s,5,2023-12-24T06:04:03Z
최악의 바이러스를 막고 감옥? 레전드 해커의 이야기!,33332,1047,2023-12-09T23:30:04Z,"🔥 이제는 개발자의 필수덕목이 되어 가는 A.I.
AI 웹 서비스 만들고. 직접 사용하고 싶다면? 😉
👉🏻  https://bit.ly/46nOPWZ
.
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,11,2023-12-10T06:04:49Z
,,,,자... 보라고... 아무도 상처받지 않는 세계의 완성이다...,@kaligula2235,170,2023-12-09T23:45:36Z
,,,,블랙해커와 화이트해커가 기술적 측면에서는 종이 한장 차이겠지만 사회적 파급력에서는 본인이 맘먹기에 따라 어마어마한 차이를 보여줄 수 있다는 것에 대한 훌륭한 교과서적 예시. 은행이나 좀도둑질해먹는 잡범 나부랭이로 끝났을지도 모르는 인생을 그저 맘만 고쳐먹었을 뿐인데 전세계를 구한 의인이 되었음. 기술을 잘 배우고 연마하는 것도 중요하지만 그 기술을 잘못된 방향으로 사용했을때 얼마나 사회에 해악을 끼치는가 일깨워주고 올바른 방향으로 기술을 사용할 수 있도록 윤리관을 함양하는 것도 매우 중요하다는 생각.,@danielchoi2259,122,2023-12-10T00:01:26Z
,,,,"이전에 잘못했던건 계속해서 꼬리표가 붙을 수 밖에 없긴 하지만,
다시 회귀해서 건설적으로 이바지하고 있다는 건 정말 다행이고도 멋지다고 생각해요.",@sylvn3801,29,2023-12-10T03:42:46Z
,,,,"스스로 생각하여 기술을 건설적인 방법으로 사용하는 점을 더 높게 봐야한다고 생각함.
역사는 반복된다는 점을 감안하여 볼 때 똑같은 케이스가 발생할 수 있고, 어떤 잘못을 저지를 수 있음. 그러나 크로노스, 웜 웨어를 별개로 보고 크로노스에 대한 처벌은 처벌대로 해버린다면 가치관이 정립하기 전에 실수한 사람들을 더 잘못된 길로 이끄는 선례가 될 것이기 때문임.
따라서 악인으로든 선인으로든 과거보다 현재를 기준으로 판단해야 한다고 생각함. 현재가 미래로 가는 방향이라고 믿음",@HongJeKim,22,2023-12-09T23:52:18Z
,,,,해커들은 흑화대신 백화하는 케이스가 종종 있네요,@재귀함수_Recursion,8,2023-12-10T02:06:18Z
,,,,다른 곳에서 접하기 힘든 내용이라 흥미롭고 재밌었습니다!,@Do_not_touch_me-b5i,2,2023-12-10T06:14:26Z
,,,,걸리기 전에 선행으로 입증했다는게 정말 큰 증명이고 하루종일 걸려서야 반성 운운하며 질질짜는 위선자들만 상대하는 판사에게 강한 인상을 주었을거라 생각됨,@skysprit2191,15,2023-12-10T04:12:58Z
,,,,와 이런 이야기 자주 해주세요!! 워너크라이 들어만 봤지 이런 백그라운드가 있었는지는 몰랐는데 정말 너무 재밌네요,@fulldiver8,4,2023-12-12T09:07:02Z
,,,,진짜 재미있는 이야기다😊,@BunST-h3u,4,2023-12-10T01:59:45Z
아직도 '랭체인'을 모른다고 해서 5분 설명해드림,47588,1067,2023-12-06T11:30:01Z,"🔥 이제는 개발자의 필수덕목이 되어 가는 A.I.
AI 웹 서비스 만들고. 직접 사용하고 싶다면? 😉 
💰 지금 예약구매 할인 중이에요! (~12/10까지!)
👉🏻  https://bit.ly/46nOPWZ",@nomadcoders,4,2023-12-06T11:47:04Z
,,,,언제나 좋은 정보 감사합니다 !,@jinhs1996,4,2023-12-06T15:32:06Z
,,,,"늘 핵심을 꼭 집어주는 명쾌한 강의, 감사합니다.",@wonckim09,0,2025-05-20T13:22:10Z
,,,,유익한정보 강의 감사합니다,@윤대근-u1z,0,2024-04-04T23:25:52Z
,,,,구매하길 잘했어. 연휴에 몰아서 수강!,@sorrynthxkim4637,2,2023-12-06T23:51:30Z
,,,,"랭체인에 대해 확실하게 알게 됐습니다. 좋은 영상 정말 감사합니다.  좋아요와, 알림 하고 갑니다.",@PabinongTV,0,2024-07-16T16:17:03Z
,,,,"시험 끝나고 몰아본다
딱대",@Heinz9999,5,2023-12-06T12:29:21Z
,,,,"회사에서 보안 때문에 chatgpt 막힐것 같아서 너무 슬퍼요
혹시 강의 목록 중 PrivateGPT 만드는게 있는데 대안이 될 수 있을까요?",@abcdef112-q5s,4,2023-12-17T11:47:02Z
,,,,감사합니다,@고수오브초고수,0,2024-08-19T23:29:19Z
,,,,오 파이썬답게 잘 만들어진 라이브러리네요,@sloan00,1,2023-12-06T21:49:15Z
인생 노트앱...드디어 찾았습니다..!,63017,1897,2023-12-03T11:30:22Z,"🔥 이제는 개발자의 필수덕목이 되어 가는 A.I.
AI 웹 서비스 만들고. 직접 사용하고 싶다면? 😉
👉🏻  https://bit.ly/46nOPWZ
-
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,9,2023-12-03T11:33:30Z
,,,,"옵시디언 사용하면서 PARA 방법은 필수같은데 Iconize로 더 이뻐질 거 같아요 ㅋㅋㅋ
니코쌤 말대로 플러그인은 생산성에 관련없지만 기분 좋게해주는거같아요",@sjdf19jdf91jdwf1,71,2023-12-03T21:51:20Z
,,,,dataview 는 진짜 개쩜...,@야레야레야야투레,4,2023-12-04T02:18:33Z
,,,,올해 초부터 옵시디언 쓰고 있는데 한국어로 쉽게쉽게 볼 수 있는 사용법 컨텐츠가 넘 적더라구요^^; 마침 니꼴라스가 다뤄줘서 넘 좋아요!! 계속 올려주세요~~참고로 코딩 1도 모르지만 왜인지 노마드코더 구독하고 있는 1인입니당ㅎㅎㅎ,@지속가능한고양이,3,2023-12-03T14:21:15Z
,,,,옵시디언에 대한 연재가 너무 좋습니다! gogogo!,@김아론,1,2024-01-06T12:28:45Z
,,,,"옵시디언 영상 더 많이 올려주세요..! 저번 영상보고 노션에서 바로 넘어왔어요..

비교해서 단점인건 
1) 하위페이지 개념이 없어서 페이지가 너무 많이 생겨서 정리가 조금 힘든거
2) 무료로 동기화가 불편한 것",@MSYForever1,25,2023-12-03T11:50:21Z
,,,,영어로 말하는데 왜 한국어보다 전달력이 좋은지 ㅋㅋ 영상 감사합니다!,@lokomira1574,1,2024-10-25T10:12:57Z
,,,,노마드 코더 님은 현재 메모 형태를 PARA ? 혹은 제텔카스텐 형식의 메모 방식을 사용하고 있는지 궁금합니다. 또 개발자로서 어떤식으로 옵시디언을 활용하여 메모하는지에 대해서도 설명해주시면 좋을거 같아요,@ksq9511,10,2023-12-03T11:45:09Z
,,,,짧은 영상에 유익한 내용이 많았어요! 일시정지 해놓고 따라하면서 봤습니다. 정말 감사합니다~! 옵시디언 꿀팁 자주 부탁드려요~~,@kitikitcat,0,2023-12-17T21:09:44Z
,,,,"추천해주신 플러그인들 써봐야겠네요! 저는 Various Complements(자동완성 추천), Outliner(리스트 관리) 플러그인도 유용하게 사용중입니다",@GAIS-kr,1,2023-12-04T02:26:26Z
Open AI 사태의 진짜 배경은? 특이점을 넘겼나!?,27246,716,2023-11-23T09:43:48Z,"🔥 이제는 개발자의 필수덕목이 되어 가는 A.I.
AI 웹 서비스 만들고. 직접 사용하고 싶다면? 😉
👉🏻  https://bit.ly/46nOPWZ
-
📌 직접 만들면서 코딩 배우기  (*무료*)
👉🏻 https://bit.ly/46W9XVC",@nomadcoders,6,2023-11-23T10:07:28Z
,,,,"모든 걸 뺏아길 수도 다 가질 수 있는 가능성을 본 다른 회사들이 가만히 있겠음?
OpenAI가 멈추든 말든 경쟁 회사나 국가들이 ㅋㅋ 하고 추월할게 뻔한데
선두주자가 되어서 질서를 잡는게 정답이라고 생각합니다.",@Bobnyamnyam,20,2023-11-23T10:28:13Z
,,,,노마드 코더 구독자임에 자부심을 느낍니다. 항상 감사합니다.,@ssscsss-f2p,2,2024-03-01T17:26:00Z
,,,,사명은 OpenAI이면서 정작 이사회는 ClosedAI였나보네요. 어째 GPT-4부터 구체적인 모델 사양도 감추면서 모델 카드에도 온갖 부정적인 우려들을 더 강조해 놨던데... 명확한 정리 감사합니다!,@AlexDraconian,28,2023-11-23T14:18:43Z
,,,,"기득권들은 항상 페쇄성을 원하고 그로 인한 이윤을 창술하는 것이 목적이고,
그런 폐쇄성을 기반으로 항상 자본의 흐름을 제어하면서 정경 유착 하며
빈부의 차를 만들어서 자신의 위치를 더 굳히는 쪽으로 발달해왔죠.

지금 이렇게 한창 성장하고 있는 기술을 안전이라는 명목 하에
발전을 저해하게 한다는 것은, 과거 종교가 과학을 탄압하며 발전을 저해한 것만큼 어리석어 보이네요.",@no-Name..,20,2023-11-23T10:35:00Z
,,,,와... 이번 사태에 대해 이토록 정확하게 정리한 영상은 없었습니다. 유튜버 대부분이 이에 관심이 없거나 음모론만 가득하던데 역시 믿고 보는 노마드 코더입니다. 👍,@지식낙지,39,2023-11-23T10:17:40Z
,,,,Ai개발자로써 이제는 받아들여야 하는 타이밍이 아닌가 싶습니다. 우리 사회가 완전실직이 된다면 어떤식으로 시스템을 변화시켜야하는지 총체적인 논의가 필요한 시점이라 생각합니다,@graduate_school_no,39,2023-11-23T10:41:45Z
,,,,지난 주말에 일종의 좌절감이 생기더라구요. 개발 파트너 GPT가 더 이상 발전하지 못할 거라고 생각하니까 ㅠㅠ,@jwhong29,10,2023-11-23T09:56:42Z
,,,,e/acc측은 너무 낙관적이고 급진주의적이라 위험해보이고 EA도 진실한 사상에서 나온 것이라기 보단 그저 기술을 독점하고 싶어하는 또다른 형태의 과격한 엘리트주의같아 위험하다고 생각합니다,@cheeki_nux3089,4,2023-12-07T23:04:36Z
,,,,"이번 쿠데타 사건이 너무 급진적으로 가다보니 이 사단이 난건데.. 이제 세상에 주목받아 발전하기 시작했고 
보편적으로 쓰이지도 않은 기술을 가지고 ""인류의 멸망"" 이라면서 바이럴하는건 좀 아니라봐요. 

더군다나 AI 발전이 무서워 규제걸면 뭐하나요. 정치적 내용까지 끌고와선 안되지만 
중국, 러시아 같은 나라들이 규제에 적극적으로 참여하지도 않을텐데요. 

저는 AI가 사람을 멸망 시키는거보다 어떤 사람(또는 단체, 국가)이 악의를 가지고 사람을 공격하는 AI를 만드는게 더 빠르다고 보는데요..ㅋㅋ
이렇게 악용될 가능성은 충분하기에 AI의 처지에 대해 논의를 멈춰선 안된다는 점은 확실하지만 

다짜고짜 기술의 발전을 막아서는건 아니라고 봅니다. 올바른 방향으로 나갈 수 있게 해야죠.",@songbird345,11,2023-11-23T10:13:18Z
